tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt15262464,movie,Love Yourself Today,Love Yourself Today,0,2021,\N,80,Documentary,8.8,57
tt15558350,movie,This Is How We Roll,This Is How We Roll,0,2021,\N,80,Documentary,8.8,64
tt18981330,movie,Solgun Agaçlar Altinda,Solgun Agaçlar Altinda,0,2022,\N,84,Drama,8.8,74
tt18548634,movie,State of the Unity,State of the Unity,0,2022,\N,88,Documentary,8.8,62
tt23927510,movie,Vidura B.R. - Monsoon Season,Vidura B.R. - Monsoon Season,0,2022,\N,54,Comedy,8.8,59
tt23643170,movie,Lakka Jawan,Lakka Jawan,0,2022,\N,\N,Comedy,8.8,65
tt23039430,movie,Kon Parka Kon Potana,Kon Parka Kon Potana,0,2022,\N,\N,Drama,8.8,56
tt11782684,movie,Convalescent,Convaleciente,0,2021,\N,108,Drama,8.7,72
tt15072234,movie,Velukkakka Oppu Kaa,Velukkakka Oppu Kaa,0,2021,\N,101,Drama,8.7,89
tt14674606,movie,One of Ours,One of Ours,0,2021,\N,88,Documentary,8.7,67
tt15141270,movie,Akshi,Akshi,0,2021,\N,127,Drama,8.7,74
tt21980046,movie,Mrs. Buica,Mrs. Buica,0,2023,\N,83,Documentary,8.7,89
tt30207801,movie,Naam Katra Isai,Naam Katra Isai,0,2023,\N,150,Drama,8.7,68
tt22023584,movie,Maali,Maali,0,2022,\N,93,Drama,8.7,50
tt23728314,movie,Blue Spirit,Blue Spirit,0,2022,\N,120,Documentary,8.7,51
tt29276947,movie,The Ticket,Bilietas,0,2023,\N,100,Documentary,8.7,75
tt25875858,movie,Layar,Layar,0,2023,\N,70,Drama,8.7,59
tt23835946,movie,Once Upon a Time in Italy,Once Upon a Time in Italy,0,2022,\N,102,Documentary,8.7,69
tt13460584,movie,Makeup,Makeup,0,2023,\N,90,Drama,8.6,58
tt13550508,movie,The Game Is Up: Disillusioned Trump Voters Tell Their Stories,The Game Is Up: Disillusioned Trump Voters Tell Their Stories,0,2022,\N,113,Documentary,8.6,84
tt13013204,movie,Shoebox,Shoebox,0,2021,\N,98,Drama,8.6,63
tt12608168,movie,You Married Dat,You Married Dat,0,2022,\N,114,Comedy,8.6,64
tt10196568,movie,On the Divide,On the Divide,0,2021,\N,79,Documentary,8.6,69
tt15450268,movie,Coextinction,Coextinction,0,2021,\N,95,Documentary,8.6,63
tt20251428,movie,Mar Dare Maya Ma,Mar Dare Maya Ma,0,2022,\N,147,Drama,8.6,71
tt21338440,movie,Nadhi,Nadhi,0,2022,\N,140,Drama,8.6,86
tt19380934,movie,Memories from the North,Memories from the North,0,2022,\N,\N,Documentary,8.6,58
tt15325396,movie,Ship of Dreams: Titanic Movie Diaries,Ship of Dreams: Titanic Movie Diaries,0,2023,\N,90,Documentary,8.6,63
tt16384190,movie,A Fantástica Fábrica de Golpes,A Fantástica Fábrica de Golpes,0,2021,\N,105,Documentary,8.6,69
tt17062106,movie,Head Over Bills,Head Over Bills,0,2022,\N,\N,Comedy,8.6,56
tt24852948,movie,Musandi,Musandi,0,2023,\N,123,Drama,8.6,52
tt26657611,movie,Nicarágua: Liberdade Exilada,Nicarágua: Liberdade Exilada,0,2023,\N,\N,Documentary,8.6,88
tt27449521,movie,Bukannya Aku Tidak Mau Nikah,Bukannya Aku Tidak Mau Nikah,0,2023,\N,96,Drama,8.6,52
tt26786982,movie,Chico Forever,Chico para Sempre,0,2022,\N,123,Documentary,8.6,72
tt28821669,movie,Forever Thirty-Three,Hep Otuz Üç Yasinda,0,2023,\N,109,Documentary,8.6,71
tt29170059,movie,Darran Chhoo,Darran Chhoo,0,2023,\N,135,Comedy,8.6,50
tt4828328,movie,The Seeds of Vandana Shiva,The Seeds of Vandana Shiva,0,2021,\N,82,Documentary,8.6,62
tt9691348,movie,Jamraud,Jamraud,0,2021,\N,140,Drama,8.6,80
tt14179602,movie,Inhabitants: An Indigenous Perspective,Inhabitants: An Indigenous Perspective,0,2021,\N,76,Documentary,8.5,53
tt21257770,movie,Majajan Orchestra,Majajan Orchestra,0,2022,\N,137,Drama,8.5,89
tt16970854,movie,Enam Batang,Enam Batang,0,2022,\N,\N,Drama,8.5,81
